Time               	Data
19:31:39.140       	00 00 00 00 1e 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 3b 9f 96 80 3f c7 83 80 31 e0 73 f6 21 13 67 56 07 58 e0 24 04 10
19:31:39.291       	00 00 06 00 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 80 7c 04 00 09
19:31:39.364       	00 00 00 00 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 7c
19:31:39.364       	00 00 00 00 11 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 80 01 02 90 01 01 91 01 02
19:31:39.370       	00 00 00 00 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 61 0a
19:31:39.370       	00 00 00 00 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 00 c0 00 00 0a
19:31:39.370       	00 00 00 00 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 c0
19:31:39.371       	00 00 00 00 12 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 80 01 02 90 02 01 01 91 01 02
19:31:39.371       	00 00 00 00 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 90 00
19:31:39.372       	00 00 06 00 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 00 a4 00 04 02
19:31:39.372       	00 00 82 f3 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 a4
19:31:39.373       	00 00 82 f3 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 3f 00
19:31:39.377       	00 00 82 f3 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 61 2a
19:31:39.377       	00 00 82 f3 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 00 c0 00 00 2a
19:31:39.378       	00 00 82 f3 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 c0
19:31:39.380       	00 00 00 00 32 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 62 28 82 02 78 21 83 02 3f 00 a5 06 80 01 71 87 01 01 8a 01 05 ab 0b 80 01 87 a4 06 83 01 0a 95 01 08 c6 06 90 01 00 83 01 01
19:31:39.380       	00 00 5e 4d 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 90 00
19:31:39.380       	00 00 5e 4d 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 80 10 00 00 1e
19:31:39.381       	00 00 68 a1 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 10
19:31:39.381       	00 00 68 a1 26 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
19:31:39.478       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 90 00
19:31:39.479       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 00 00 80 7c 00 02 00
19:31:39.480       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 00 00 90 00
19:31:39.480       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 00 04 02
19:31:39.481       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.482       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 3f 00
19:31:39.482       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 61 2a
19:31:39.483       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 c0 00 00 2a
19:31:39.483       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 c0
19:31:39.485       	00 00 00 00 32 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 62 28 82 02 78 21 83 02 3f 00 a5 06 80 01 71 87 01 01 8a 01 05 ab 0b 80 01 87 a4 06 83 01 0a 95 01 08 c6 06 90 01 00 83 01 01
19:31:39.485       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 90 00
19:31:39.486       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 80 aa 00 00 08
19:31:39.486       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 aa
19:31:39.487       	00 00 a2 fc 10 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 a9 06 82 01 01 83 01 07
